16494 | 咖啡豆 | CoFeel 凱飛鮮烘豆衣索比亞古吉烏拉嘎水洗一級淺中烘焙咖啡豆半磅 | 衣索比亞 | NT449
16474 | 生豆 | (生豆)E7HomeCafe一起烘咖啡 印尼迦佑曼特寧18目濕剝一級咖啡生豆500克 | 印尼 | NT550
16459 | 咖啡豆 | CoFeel 凱飛鮮烘豆特調黃金曼巴中深烘焙咖啡豆半磅 | 印尼/巴西 | NT390
16448 | 濾掛咖啡 | CoFeel 凱飛鮮烘豆耶加雪菲+特調曼巴濾掛咖啡/耳掛咖啡包10g各10包 | 衣索比亞 | NT439
16444 | 生豆 | (生豆)E7HomeCafe一起烘咖啡瓜地馬拉安地瓜花神水洗處理咖啡生豆500克 | 瓜地馬拉 | NT499
16359 | 濾掛咖啡 | CoFeel 凱飛鮮烘豆特調阿拉比卡濾掛咖啡/耳掛咖啡包10gx20包 | 巴西+非洲 | NT399
16308 | 咖啡豆 | CoFeel 凱飛鮮烘豆衣索比亞谷吉淺中烘焙咖啡豆一磅 | 衣索比亞 | NT799
16307 | 咖啡豆 | CoFeel 凱飛鮮烘豆衣索比亞谷吉淺中烘焙咖啡豆半磅 | 衣索比亞 | NT449
16021 | 禮盒/體驗 | CoFeel 凱飛鮮烘豆手提一磅凱飛極鮮豆耶加雪夫中烘焙+黃金曼特寧中深烘焙咖啡豆禮盒 | 衣索比亞 | NT1149
16020 | 禮盒/體驗 | CoFeel 凱飛鮮烘豆手提一磅凱飛極鮮豆衣索比亞耶加雪夫中烘焙咖啡豆禮盒 | 衣索比亞 | NT1099
16019 | 禮盒/體驗 | CoFeel 凱飛鮮烘豆手提一磅凱飛極鮮豆印尼黃金曼特寧中深烘焙咖啡豆禮盒 | 印尼 | NT1199
16018 | 咖啡豆 | CoFeel 凱飛鮮烘豆哥倫比亞印地安雪峰中深烘焙咖啡豆一磅 | 哥倫比亞 | NT699
16017 | 咖啡豆 | CoFeel 凱飛鮮烘豆哥倫比亞印地安雪峰中深烘焙咖啡豆半磅 | 哥倫比亞 | NT399
16000 | 咖啡豆 | CoFeel 凱飛鮮烘豆瓜地馬拉安地瓜花神中烘焙咖啡豆一磅 | 瓜地馬拉 | NT799
15999 | 咖啡豆 | CoFeel 凱飛鮮烘豆瓜地馬拉安地瓜花神中烘焙咖啡豆半磅 | 瓜地馬拉 | NT449
15998 | 咖啡豆 | CoFeel 凱飛鮮烘豆瓜地馬拉新東方酒香魅影淺烘焙咖啡豆一磅 | 瓜地馬拉 | NT799
15997 | 咖啡豆 | CoFeel 凱飛鮮烘豆瓜地馬拉新東方酒香魅影淺烘焙咖啡豆半磅 | 瓜地馬拉 | NT449
15986 | 濾掛咖啡 | CoFeel 凱飛鮮烘豆特調黃金曼巴濾掛咖啡/耳掛咖啡包10gx20包 | 印尼 | NT399
15985 | 濾掛咖啡 | CoFeel 凱飛鮮烘豆特調黃金曼巴濾掛咖啡/耳掛咖啡包10gx10包 | 印尼 | NT249
15983 | 濾掛咖啡 | CoFeel 凱飛鮮烘豆黃金曼特寧單品濾掛咖啡/耳掛咖啡包10gx20包 | 印尼 | NT499
15982 | 濾掛咖啡 | CoFeel 凱飛鮮烘豆黃金曼特寧單品濾掛咖啡/耳掛咖啡包10gx10包 | 印尼 | NT309
15980 | 濾掛咖啡 | CoFeel 凱飛鮮烘豆耶加雪夫單品濾掛咖啡/耳掛咖啡包10gx20包 | 衣索比亞 | NT469
15979 | 濾掛咖啡 | CoFeel 凱飛鮮烘豆耶加雪夫單品濾掛咖啡/耳掛咖啡包10gx10包 | 衣索比亞 | NT289
15747 | 濾掛咖啡 | CoFeel 凱飛濾掛咖啡袋50入/食品級濾紙(非濾掛咖啡) | 日本 | NT279
15477 | 咖啡豆 | CoFeel 凱飛鮮烘豆哥斯大黎加牧童莊園中烘焙咖啡豆一磅 | 哥斯大黎加 | NT649
15476 | 咖啡豆 | CoFeel 凱飛鮮烘豆哥斯大黎加牧童莊園中烘焙咖啡豆半磅 | 哥斯大黎加 | NT369
15475 | 咖啡豆 | CoFeel 凱飛鮮烘豆印尼蘇門答臘黃金曼特寧中深烘焙咖啡豆一磅 | 印尼 | NT899
15474 | 咖啡豆 | CoFeel 凱飛鮮烘豆印尼蘇門答臘黃金曼特寧中深烘焙咖啡豆半磅 | 印尼 | NT499
15473 | 咖啡豆 | CoFeel 凱飛鮮烘豆哥斯大黎加征服者中深烘焙咖啡豆一磅 | 哥斯大黎加 | NT799
15472 | 咖啡豆 | CoFeel 凱飛鮮烘豆哥斯大黎加征服者中深烘焙咖啡豆半磅 | 哥斯大黎加 | NT499
15469 | 咖啡豆 | CoFeel 凱飛鮮烘豆衣索比亞耶加雪夫中烘焙咖啡豆一磅 | 衣索比亞 | NT849
15468 | 咖啡豆 | CoFeel 凱飛鮮烘豆衣索比亞耶加雪夫中烘焙咖啡豆半磅 | 衣索比亞 | NT449
15467 | 咖啡豆 | CoFeel 凱飛鮮烘豆衣索比亞耶加雪夫淺烘焙咖啡豆一磅 | 衣索比亞 | NT849
15466 | 咖啡豆 | CoFeel 凱飛鮮烘豆衣索比亞耶加雪夫淺烘焙咖啡豆半磅 | 衣索比亞 | NT449
